open,high,low,close,range,m.open,m.high,m.low,m.close,m.range,tal
1.0924,1.0928,1.0924,1.0926,0.0004,0.0,0.0003,0.00025,0.0002,5e-05,5
1.0926,1.09295,1.0926,1.0929,0.00035,0.0002,0.00015,0.0002,0.0003,-5e-05,5
1.0929,1.09325,1.09275,1.0932,0.0005,0.0003,0.0003,0.00015,0.0003,0.00015,5
1.0932,1.0934,1.093,1.0934,0.0004,0.0003,0.00015,0.00025,0.0002,-0.0001,5
1.0934,1.0935,1.0932,1.09345,0.0003,0.0002,0.0001,0.0002,5e-05,-0.0001,5
1.09345,1.09395,1.09335,1.0938,0.0006,5e-05,0.00045,0.00015,0.00035,0.0003,5
1.0938,1.0939,1.09355,1.0936,0.00035,0.00035,-5e-05,0.0002,-0.0002,-0.00025,5
1.0936,1.094,1.09355,1.09395,0.00045,-0.0002,0.0001,0.0,0.00035,0.0001,5
1.09395,1.09415,1.09385,1.09415,0.0003,0.00035,0.00015,0.0003,0.0002,-0.00015,5
1.09395,1.09415,1.09385,1.09415,0.0003,0.00035,0.00015,0.0003,0.0002,-0.00015,5
1.09415,1.09425,1.094,1.0941,0.00025,0.0002,0.0001,0.00015,-5e-05,-5e-05,5
1.0937,1.0938,1.09345,1.0937,0.00035,0.0001,0.0,-0.0001,0.0,0.0001,18
1.0937,1.0937,1.09345,1.09355,0.00025,0.0,-0.0001,0.0,-0.00015,-0.0001,18
1.0935,1.09355,1.0932,1.0935,0.00035,0.0002,5e-05,-5e-05,0.0,0.0001,18
1.0935,1.0937,1.09345,1.09365,0.00025,0.0,0.00015,0.00025,0.00015,-0.0001,18
1.09365,1.09405,1.0936,1.09405,0.00045,0.00015,0.00035,0.00015,0.0004,0.0002,18
1.09405,1.09415,1.09365,1.09405,0.0005,0.0004,0.0001,5e-05,0.0,5e-05,18
1.09405,1.09405,1.0933,1.09355,0.00075,0.0,-0.0001,-0.00035,-0.0005,0.00025,18
1.093,1.09315,1.09265,1.0928,0.0005,5e-05,-5e-05,5e-05,-0.0002,-0.0001,18
1.0932,1.0932,1.09255,1.09295,0.00065,0.0004,-0.00055,5e-05,-0.00025,-0.0006,18
1.09295,1.0936,1.0929,1.09335,0.0007,-0.00025,0.0004,0.00035,0.0004,5e-05,18
1.09295,1.0936,1.0929,1.09335,0.0007,-0.00025,0.0004,0.00035,0.0004,5e-05,18
1.09335,1.0939,1.09315,1.0937,0.00075,0.0004,0.0003,0.00025,0.00035,5e-05,18
1.09335,1.0939,1.09315,1.0937,0.00075,0.0004,0.0003,0.00025,0.00035,5e-05,18
