F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,label
-29,21,30,51,30,22,36,46,19,-6,-27,-29,38,20,-9,-10,39,23,8,9,65,24,19,10,ENTRY
16,17,1,18,21,9,17,20,2,0,3,16,10,18,9,18,5,19,18,26,9,13,15,21,ENTRY
-28,11,42,53,27,38,44,29,9,4,-22,-28,24,21,6,-19,39,19,10,-4,39,41,17,11,ENTRY
-53,21,57,78,121,122,123,40,74,-33,10,-53,163,45,89,21,71,55,100,110,55,37,-1,18,ENTRY
75,75,8,83,46,70,83,44,-9,72,35,75,-50,33,20,66,-76,-13,-13,25,-70,-29,-68,-1,ENTRY
-17,24,19,43,91,60,64,71,45,-13,35,-17,70,36,53,28,111,63,84,53,136,113,141,94,ENTRY
-82,12,89,101,43,91,60,64,-17,-12,-70,-82,28,-25,-35,-99,53,24,-17,-54,94,51,14,-29,ENTRY
31,58,2,60,91,90,46,28,34,-12,19,31,-27,-22,8,65,-26,-14,-28,4,-42,-20,-52,5,ENTRY
-26,13,41,54,35,66,56,39,13,-1,-20,-26,-2,2,14,-13,24,4,6,-28,40,36,21,-2,ENTRY
49,75,43,118,93,177,212,418,-8,33,8,49,-38,39,98,41,-26,-81,13,11,136,-146,154,23,ENTRY
-56,15,58,73,132,75,26,38,101,-26,33,-56,50,39,41,45,51,41,-6,-6,27,22,-13,-5,ENTRY
67,113,26,139,85,129,75,114,-46,46,-8,67,-106,-37,-47,21,-102,-71,-135,-39,-140,-80,-105,-35,ENTRY
284,304,65,369,141,185,377,170,-53,271,43,284,-163,140,-44,231,-439,-93,-85,121,-368,-114,-313,-155,ENTRY
-173,188,176,364,95,62,80,115,17,-34,-303,-173,8,-3,-305,-156,26,-6,-290,-165,96,22,-227,-147,ENTRY
42,89,26,115,231,364,95,62,-100,-50,66,42,-273,-208,41,-58,-256,-242,-262,-231,-265,-211,-264,-214,ENTRY
-95,12,112,124,179,179,115,231,161,-1,54,-95,122,28,83,66,164,113,104,27,64,63,170,69,ENTRY
114,121,16,137,74,97,76,113,0,129,66,114,-8,89,49,114,-29,49,-12,106,-97,23,-1,85,ENTRY
-54,32,60,92,167,103,60,59,83,-71,4,-54,5,11,22,29,42,-9,-41,-49,19,10,-23,-12,ENTRY
70,82,5,87,41,33,68,59,19,58,12,70,-6,65,11,89,-41,23,4,64,-92,-20,-48,29,ENTRY
-41,4,51,55,29,28,41,69,6,3,-23,-41,24,15,-12,-35,41,28,14,-17,86,32,46,0,ENTRY
-50,2,88,90,62,73,95,123,-8,-22,-50,-50,13,-6,-23,-58,-30,-27,-22,-37,79,5,38,-80,ENTRY
85,85,14,99,49,35,67,42,-1,85,35,85,-29,66,2,84,-9,67,35,56,-4,66,9,76,ENTRY
-66,24,72,96,61,79,160,120,11,-9,-44,-66,47,-1,-18,-55,131,34,98,-19,62,20,44,65,ENTRY
40,64,33,97,207,115,64,98,-97,-26,84,40,-200,-127,-109,-57,-223,-175,-208,-160,-248,-236,-235,-183,ENTRY
-23,16,48,64,98,209,81,104,-25,-61,-27,-23,168,-16,129,-48,184,129,146,145,249,201,241,161,ENTRY
16,17,64,81,104,74,71,67,65,72,95,16,10,84,77,81,-5,43,33,26,30,48,34,11,ENTRY
48,56,5,61,82,17,15,21,-67,-15,6,48,-77,-25,-69,-19,-74,-24,-70,-29,-82,-31,-71,-26,ENTRY
-24,10,30,40,40,35,33,14,22,-11,-11,-24,49,26,21,-2,66,39,32,25,66,65,39,42,ENTRY
-29,9,31,40,29,35,39,47,9,-4,-15,-29,14,11,6,-20,-1,0,-1,-15,-8,-15,-8,-30,ENTRY
15,15,6,21,13,24,29,23,-5,8,0,15,-3,15,18,10,-14,-4,4,12,-25,-9,-7,1,ENTRY
-30,3,38,41,66,66,55,73,-36,-28,-3,-30,2,-28,-3,-66,39,-8,6,-28,103,46,78,9,ENTRY
-41,8,41,49,54,24,46,31,29,-23,-18,-41,43,28,3,-12,19,9,6,2,35,13,-5,-22,ENTRY
56,57,11,68,46,38,46,33,-25,26,4,56,12,42,12,31,-32,34,12,68,-54,9,-26,24,ENTRY
-25,33,25,58,62,52,149,48,14,-19,-15,-25,8,-36,-42,-11,52,2,93,-17,95,52,42,27,ENTRY
43,48,0,48,80,82,48,90,31,43,75,43,0,33,67,74,3,33,33,43,-77,-35,7,46,ENTRY
102,102,4,106,39,114,159,105,-8,77,10,102,-46,34,42,94,73,42,95,56,-25,75,74,175,ENTRY
-15,7,15,22,40,22,35,21,31,-6,12,-15,18,15,15,16,35,11,24,3,49,31,30,20,ENTRY
-4,16,13,29,22,40,22,35,-15,-6,-13,-4,16,-12,-1,-19,3,9,2,12,20,5,11,-1,ENTRY
-13,3,38,41,29,22,40,22,-4,12,0,-13,-19,6,-13,-17,12,0,-1,-32,-1,21,2,-1,ENTRY
94,112,5,117,102,56,56,91,-55,44,29,94,-56,13,-48,39,-77,2,-59,38,-153,-60,-86,17,ENTRY
30,34,5,39,54,31,43,37,-38,-8,7,30,-62,-29,-37,-8,-70,-47,-43,-32,-59,-42,-44,-40,ENTRY
-16,19,80,99,137,81,172,66,110,49,87,-16,150,149,131,94,186,179,252,134,207,218,185,170,ENTRY
-31,64,78,142,99,137,81,172,-16,-33,-76,-31,94,16,11,-47,134,116,55,63,170,146,176,103,ENTRY
23,53,37,90,44,90,133,67,-16,29,-17,23,-49,7,7,7,-128,-100,-57,-26,-176,-120,-143,-105,ENTRY
26,50,8,58,90,44,90,133,23,-3,29,26,7,26,12,49,-26,4,36,33,-105,-103,-28,0,ENTRY
49,54,3,57,37,49,46,52,-18,27,7,49,-35,3,-5,31,-46,-19,-30,14,-15,0,-5,3,ENTRY
-82,0,99,99,91,107,67,73,48,0,-8,-82,37,34,42,-34,38,44,12,-45,89,33,7,-44,ENTRY
-24,11,37,48,37,80,65,37,5,-17,-28,-24,35,-1,31,-19,76,40,57,11,86,67,56,52,ENTRY
48,52,21,73,57,71,48,37,-27,26,10,48,-86,-19,-21,21,-110,-54,-79,-38,-105,-71,-107,-62,ENTRY
-86,9,92,101,107,147,99,145,82,-19,-13,-86,225,85,131,-4,299,219,217,139,202,173,217,213,ENTRY
-21,10,48,58,58,49,57,47,36,18,18,-21,50,48,39,15,89,66,65,29,111,109,98,68,ENTRY
-16,13,39,52,58,58,49,57,-21,-25,-19,-16,15,-7,-1,-37,29,23,20,-1,68,41,46,13,ENTRY
2,29,16,45,65,100,77,70,-50,-34,-14,2,7,-43,12,-48,-31,-29,3,9,-24,-58,-33,-29,ENTRY
6,23,19,42,45,65,100,77,2,9,12,6,-48,-25,-2,8,9,-34,24,-42,-29,-20,15,15,ENTRY
6,29,14,43,42,45,65,100,6,1,0,6,8,10,12,12,-42,-24,-2,14,15,-33,24,-36,ENTRY
7,19,9,28,101,18,13,35,-51,-39,34,7,-52,-47,-57,-44,-54,-44,-59,-45,-77,-64,-57,-47,ENTRY
19,31,9,40,28,101,18,13,7,19,7,19,-44,-20,41,26,-45,-28,-50,-25,-47,-25,-52,-26,ENTRY
-29,0,43,43,67,44,63,34,46,-4,20,-29,57,40,41,17,90,68,88,28,78,79,70,61,ENTRY
-36,1,64,65,43,67,44,63,-29,-15,-37,-36,17,-19,-17,-65,28,25,4,-19,61,53,51,-8,ENTRY
-29,0,34,34,30,10,28,13,20,-3,-7,-29,20,18,-6,-9,41,18,12,-9,38,34,13,12,ENTRY
-56,3,66,69,34,30,10,28,-29,-24,-59,-56,-9,-27,-66,-85,-9,-6,-65,-65,12,-6,-47,-65,ENTRY
-27,16,27,43,32,16,27,63,12,-15,-26,-27,13,5,-22,-15,21,-4,-20,-14,74,11,31,-6,ENTRY
-20,0,26,26,43,32,16,27,-27,-21,-4,-20,-15,-36,-30,-47,-14,-16,-26,-35,-6,-25,-24,-34,ENTRY
81,86,1,87,65,81,46,163,-30,32,10,81,-111,-29,-35,51,-103,-53,-94,-30,50,-24,52,-22,ENTRY
-26,13,61,74,71,115,86,53,52,16,13,-26,113,57,98,26,76,90,102,87,87,92,71,50,ENTRY
-17,9,50,59,74,71,115,86,-26,-28,-13,-17,26,-12,0,-43,87,29,85,9,50,62,89,70,ENTRY
-60,9,69,78,44,26,46,46,-26,-31,-65,-60,-16,-20,-72,-86,-10,-30,-62,-76,8,-3,-35,-70,ENTRY
99,99,9,108,74,80,78,44,-26,55,21,99,-69,9,-19,73,-129,-30,-60,30,-155,-61,-125,-30,ENTRY
48,54,5,59,51,18,32,73,-27,22,14,48,-21,20,-21,21,-39,0,-27,27,-96,-58,-44,9,ENTRY
-9,7,26,33,42,30,59,51,36,17,26,-9,38,37,34,27,86,50,76,29,59,72,90,77,ENTRY
-11,12,28,40,33,42,30,59,-9,-9,-16,-11,27,8,10,-20,29,28,18,16,77,41,60,18,ENTRY
-13,11,19,30,52,20,25,23,32,5,27,-13,44,33,23,19,53,42,37,31,40,36,29,40,ENTRY
-46,1,49,50,30,52,20,25,-13,-16,-36,-46,19,-11,-9,-59,31,17,-13,-27,40,26,1,-15,ENTRY
-96,32,106,138,80,80,44,124,37,-1,-59,-96,107,37,-21,-59,103,106,12,11,46,54,40,7,ENTRY
8,15,38,53,42,56,48,70,-16,14,3,8,-65,-21,-18,-8,-77,-39,-44,-57,-24,-44,-27,-69,ENTRY
83,87,2,89,53,42,56,48,8,47,11,83,-8,61,14,91,-57,26,-7,75,-69,8,-33,26,ENTRY
61,76,13,89,65,57,26,41,-39,12,-12,61,-90,-18,-50,22,-83,-22,-85,-29,-56,-21,-69,-22,ENTRY
28,45,10,55,89,65,57,26,61,25,59,28,22,37,47,89,-29,7,9,50,-22,3,-26,-1,ENTRY
33,41,19,60,66,40,15,35,-31,12,18,33,-41,-16,-36,2,-31,11,-34,-8,-52,-4,-29,2,ENTRY
19,43,9,52,60,66,40,15,33,9,17,19,2,21,35,52,-8,-7,-19,21,2,20,-17,11,ENTRY
-11,10,15,25,36,39,56,39,2,-10,1,-11,13,-1,13,-9,48,10,41,2,65,48,62,37,ENTRY
-7,15,10,25,29,22,25,36,-8,-14,-10,-7,5,-7,-10,-15,-6,-7,-7,-2,-4,-17,-6,-13,ENTRY
37,42,13,55,56,61,163,89,-48,2,3,37,-44,-13,-7,-11,-139,-101,7,-7,-100,-124,-90,-102,ENTRY
25,38,12,50,55,56,61,163,37,24,29,25,-11,26,32,62,-7,11,22,14,-102,-77,36,18,ENTRY
-6,26,9,35,41,55,72,104,30,-2,4,-6,21,4,24,24,74,21,58,15,144,53,122,68,ENTRY
-15,35,21,56,35,41,55,72,-6,-3,-24,-15,24,-5,-20,-21,15,1,0,9,68,18,34,0,ENTRY
-52,4,62,66,47,56,35,41,15,9,-10,-52,0,4,-6,-37,-6,1,-30,-52,24,-1,-26,-58,ENTRY
6,36,14,50,50,96,161,110,0,5,5,6,39,12,58,6,-62,-95,16,45,-166,-148,-88,-56,ENTRY
71,91,16,107,50,50,96,161,6,73,16,71,6,78,21,77,45,85,74,77,-56,-22,32,116,ENTRY
-1,18,12,30,61,22,39,29,15,-28,3,-1,7,15,7,14,-3,-17,-8,6,-3,-7,-8,-4,ENTRY
-16,7,18,25,30,61,22,39,-1,-10,-5,-16,14,-38,-2,-17,6,5,2,-2,-4,-27,-13,-10,ENTRY
-60,16,61,77,25,30,61,22,-16,-17,-69,-60,-17,-27,-74,-76,-2,-55,-71,-77,-10,-12,-67,-62,ENTRY
-30,24,38,62,43,49,50,41,20,0,-19,-30,53,12,-1,-10,20,11,-1,23,-3,-6,-27,-10,ENTRY
-34,26,50,76,62,43,49,50,-30,-22,-36,-34,-10,-22,-55,-64,23,-10,-37,-44,-10,-11,-37,-11,ENTRY
-10,31,87,118,57,68,54,61,11,51,-10,-10,-25,51,1,1,15,42,-22,-35,27,60,3,5,ENTRY
-30,4,102,106,118,57,68,54,-10,-15,-3,-30,1,36,-13,-40,-35,36,-2,-29,5,27,-25,-65,ENTRY
-98,7,110,117,130,70,70,101,58,-9,4,-98,90,33,-14,-40,98,79,32,-8,178,102,86,0,ENTRY
16,53,17,70,205,89,62,104,125,-10,125,16,60,93,112,141,78,61,53,76,14,44,78,94,ENTRY
41,41,24,65,121,78,199,172,-86,-28,28,41,-130,-72,-59,-45,12,-116,18,-89,178,77,184,53,ENTRY
8,8,54,62,65,121,78,199,41,38,41,8,-45,10,69,49,-89,-34,-18,-37,53,-78,59,-81,ENTRY
-9,1,15,16,33,23,38,13,-14,-20,-3,-9,-9,-17,-10,-23,14,-11,11,-18,22,20,17,5,ENTRY
-9,17,34,51,27,40,35,23,15,14,-10,-9,42,30,19,6,17,32,16,33,7,23,-5,8,ENTRY
-40,18,42,60,51,27,40,35,-9,-32,-41,-40,6,-18,-51,-49,33,-2,-22,-34,8,0,-25,-7,ENTRY
64,64,4,68,35,37,69,48,-18,42,9,64,-10,36,5,46,-55,-5,-4,54,-78,-23,-43,9,ENTRY
-2,9,16,25,47,28,68,35,29,0,22,-2,44,37,40,27,108,54,97,42,90,96,106,106,ENTRY
-15,11,15,26,25,47,28,68,-2,-16,-17,-15,27,-16,5,-17,42,21,23,12,106,38,80,27,ENTRY
14,25,9,34,31,44,35,36,-11,3,0,14,-53,-30,-20,3,-33,-35,-34,-39,-59,-42,-40,-19,ENTRY
24,59,0,59,34,31,44,35,14,15,-10,24,3,18,-10,38,-39,-15,-30,27,-19,-20,-44,-15,ENTRY
-41,23,41,64,105,67,65,60,104,-1,40,-41,61,49,52,63,116,61,62,20,146,99,95,75,ENTRY
-49,28,59,87,111,135,96,144,46,-14,10,-49,106,-13,35,-3,159,97,106,57,221,154,211,110,ENTRY
-18,18,27,45,47,44,92,50,31,-7,-5,-18,45,19,18,13,80,21,68,27,80,61,66,62,ENTRY
-36,8,47,55,45,47,44,92,-18,-16,-26,-36,13,-23,-31,-54,27,3,-8,-23,62,5,42,-9,ENTRY
-7,58,7,65,37,37,50,72,-26,-29,-57,-7,-2,-27,-55,-33,-21,-21,-36,-9,-17,-62,-55,-28,ENTRY
-6,19,16,35,65,37,37,50,-7,3,33,-6,-33,-26,-24,-13,-9,-24,-22,-39,-28,-18,-3,-15,ENTRY
-3,35,9,44,93,114,98,47,56,4,53,-3,-23,-46,24,53,-105,-99,-45,-26,-107,-118,-115,-108,ENTRY
21,30,5,35,44,93,114,98,-3,17,26,21,53,21,79,18,-26,-29,50,74,-108,-82,-19,-5,ENTRY
-43,56,44,100,71,67,68,125,36,-16,-45,-43,78,13,-20,-7,52,51,19,35,91,-5,20,9,ENTRY
-31,27,36,63,100,71,67,68,-43,-39,-2,-31,-7,-55,-47,-74,35,-26,-22,-38,9,12,17,4,ENTRY
-47,25,47,72,48,47,26,36,0,-11,-35,-47,39,-2,-27,-47,54,33,-13,-8,57,50,14,7,ENTRY
15,20,6,26,36,27,23,36,3,17,27,15,18,21,22,18,-3,16,13,33,-3,4,14,12,ENTRY
19,20,17,37,32,76,81,78,4,29,24,19,-44,-33,6,23,-55,-40,4,-25,-11,-31,10,-36,ENTRY
27,30,5,35,37,32,76,81,19,15,17,27,23,44,41,46,-25,-18,23,50,-36,-25,21,2,ENTRY
-10,64,16,80,111,124,116,76,11,-34,-3,-10,101,-12,32,1,34,8,44,91,7,-1,-5,24,ENTRY
-115,3,253,256,80,111,124,116,-10,122,-54,-115,1,88,-57,-125,91,110,-22,-114,24,130,-10,-24,ENTRY
-17,19,55,74,91,81,51,74,65,22,39,-17,90,47,54,48,93,99,76,73,89,126,126,76,ENTRY
-115,11,131,142,74,91,81,51,-17,-39,-107,-115,48,-17,-68,-132,73,8,-53,-67,76,60,-31,-42,ENTRY
130,163,9,172,113,88,34,93,-77,27,-32,130,-162,-23,-107,53,-166,-36,-174,-32,-245,-117,-196,-36,ENTRY
188,221,23,244,172,113,88,34,130,202,130,188,53,229,98,318,-32,179,23,241,-36,166,-44,156,ENTRY
-79,3,90,93,43,65,70,96,9,-20,-70,-79,30,-15,-43,-70,21,20,-3,-49,-52,-55,-52,-58,ENTRY
-4,21,13,34,93,43,65,70,-79,-81,-22,-4,-70,-101,-92,-83,-49,-96,-65,-74,-58,-61,-25,-53,ENTRY
45,46,8,54,78,70,48,66,-19,5,29,45,-6,32,48,26,-46,2,-4,39,-88,-57,-45,-1,ENTRY
45,62,12,74,54,78,70,48,45,49,29,45,26,54,58,90,39,81,77,71,-1,51,25,84,ENTRY
-9,18,19,37,45,41,17,51,-21,-28,-20,-9,12,-13,-9,-30,24,17,-3,3,75,34,48,15,ENTRY
-12,8,27,35,37,45,41,17,-9,-4,-2,-12,-30,-32,-22,-21,3,-17,-11,-42,15,13,-5,-9,ENTRY
-5,12,28,40,35,37,45,41,-12,-4,-9,-5,-21,-8,-11,-17,-42,-36,-31,-26,-9,-21,-20,-47,ENTRY
236,274,19,293,142,538,58,42,-57,159,8,236,-440,-187,58,179,-460,-217,-452,-204,-460,-214,-465,-224,ENTRY
6,36,26,62,88,113,115,189,23,-3,23,6,-73,-56,-5,29,-82,-147,-94,-67,-83,-158,-31,-76,ENTRY
35,39,7,46,77,62,88,113,41,25,56,35,47,57,73,76,70,54,96,82,-26,1,68,105,ENTRY
41,60,17,77,62,88,113,115,6,32,17,41,29,29,40,47,-67,-24,12,70,-76,-115,-77,-26,ENTRY
-13,6,21,27,38,41,39,41,20,-10,1,-13,3,2,16,7,33,7,19,-10,44,37,51,20,ENTRY
-42,3,44,47,27,38,41,39,-13,-19,-39,-42,7,-29,-38,-55,-10,-17,-23,-35,20,-12,-20,-52,ENTRY
-20,26,32,58,42,47,27,38,0,3,-13,-20,-42,-32,-43,-20,-55,-51,-82,-62,-35,-61,-81,-75,ENTRY
0,33,9,42,47,27,38,41,-42,-35,-30,0,-55,-54,-69,-42,-35,-64,-68,-55,-52,-52,-53,-35,ENTRY
95,95,1,96,54,51,33,27,-14,53,11,95,-22,60,15,81,-35,51,-12,73,-32,55,-14,60,ENTRY
50,60,19,79,96,54,51,33,95,68,85,50,81,121,96,145,73,128,100,131,60,119,73,123,ENTRY
50,50,26,76,138,66,76,21,-91,-36,26,50,-54,-15,-25,-41,-130,-54,-54,-4,-133,-65,-120,-80,ENTRY
43,51,1,52,76,138,66,76,50,18,42,43,-41,-18,68,93,-4,3,17,2,-80,-36,-12,39,ENTRY
-34,11,45,56,98,73,56,63,-1,-20,22,-34,40,3,20,-35,55,41,41,6,65,54,61,21,ENTRY
-23,2,56,58,56,98,73,56,-34,-12,-14,-23,-35,-32,8,-57,6,-9,6,-58,21,29,27,-17,ENTRY
-2,73,36,109,398,53,48,37,201,-59,230,-2,199,211,155,199,202,224,163,197,196,221,149,200,ENTRY
-130,5,168,173,109,398,53,48,-2,2,-62,-130,199,-57,168,-132,197,213,93,69,200,226,101,67,ENTRY
129,137,28,165,164,65,180,140,-122,29,28,129,-168,-21,-121,7,-215,-179,-164,-39,-194,-87,-112,-86,ENTRY
51,93,0,93,165,164,65,180,129,23,95,51,7,52,123,180,-39,2,-26,58,-86,-156,-69,12,ENTRY
33,34,36,70,90,149,104,102,-66,-1,19,33,-187,-126,-47,-33,-139,-141,-107,-154,-118,-131,-99,-106,ENTRY
44,54,17,71,70,90,149,104,33,25,24,44,-33,24,43,77,-154,-101,-23,11,-106,-116,-83,-110,ENTRY
-12,4,34,38,74,86,52,37,-47,-45,-9,-12,20,-37,11,-59,14,-5,9,8,22,15,14,2,ENTRY
-74,0,77,77,38,74,86,52,-12,-31,-70,-74,-59,-76,-79,-86,8,-68,-59,-133,2,-36,-61,-66,ENTRY
27,31,5,36,40,32,27,48,-26,2,6,27,-46,-18,-22,1,-62,-30,-39,-19,-16,-31,-19,-35,ENTRY
15,54,11,65,36,40,32,27,27,21,-8,15,1,23,-2,42,-19,3,-30,16,-35,-9,-47,-4,ENTRY
-23,4,27,31,34,29,28,51,24,-6,-3,-23,44,22,20,1,62,39,36,21,54,36,56,39,ENTRY
50,51,7,58,40,65,52,50,15,53,35,50,-18,22,29,65,0,27,21,32,-3,25,17,50,ENTRY
-10,76,24,100,122,53,44,62,64,-27,-5,-10,92,78,31,54,91,86,30,82,63,69,31,81,ENTRY
-34,36,57,93,100,122,53,44,-10,-1,6,-34,54,-28,1,-44,82,77,37,20,81,85,36,48,ENTRY
48,92,5,97,56,52,60,26,-6,26,-15,48,-9,32,-13,42,-43,7,-30,39,-28,1,-70,5,ENTRY
37,41,3,44,35,33,30,71,-14,23,14,37,-15,2,-9,23,-20,3,-11,22,-81,-42,-15,17,ENTRY
18,18,12,30,26,30,44,35,-9,18,14,18,-8,6,6,9,29,19,33,10,15,42,47,47,ENTRY
29,34,16,50,22,27,16,54,6,35,7,29,-10,30,7,35,-15,26,-8,19,0,9,13,14,ENTRY
