20230728032000,13,45,3,48,93,70,74,76,16,61,49,13,57,79,96,62,76,102,92,109,51,79,84,105,BUY
20230728042000,113,115,24,139,52,77,129,62,130,43,19,113,114,52,37,126,147,137,127,150,216,139,107,240,BUY
20230728013600,-24,6,49,55,121,66,69,71,-80,-14,-103,-24,-135,-124,-159,-127,-203,-189,-200,-183,-230,-214,-200,-224,SELL
20230728004000,45,50,40,90,140,90,180,80,75,125,115,45,125,125,95,160,75,165,20,140,70,60,40,65,SELL
20230728004700,60,95,10,105,45,95,70,55,50,-10,15,60,85,75,95,75,105,70,85,155,130,80,95,145,BUY
20230526045000,40,45,10,55,55,65,75,55,0,0,-25,40,15,25,25,15,50,70,75,65,75,75,45,115,BUY
20230526044400,70,70,0,70,90,55,55,70,50,70,70,70,110,95,90,140,115,100,75,160,95,95,65,145,SELL
20230526033200,-25,5,35,40,50,45,35,55,5,15,45,-25,30,35,60,20,35,30,25,35,0,15,-10,0,SELL
20230526033800,15,50,55,105,65,190,85,100,40,0,5,15,-85,0,-140,20,-120,-140,-180,-125,-150,-155,-145,-165,BUY
20230526025200,-50,5,65,70,55,100,90,100,0,-15,5,-50,-80,-50,-20,-45,-80,-60,-65,-70,-135,-105,-70,-115,SELL
20230526024200,-25,30,25,55,180,115,125,95,-100,25,55,-25,15,75,105,30,105,175,155,80,145,185,225,130,BUY
20230526023800,70,85,10,95,90,150,65,55,70,65,60,70,110,165,175,130,210,180,155,245,225,185,165,225,SELL
20230526014100,20,25,15,40,75,45,85,50,10,45,45,20,50,55,20,65,-20,25,-55,40,-60,-50,-50,-35,SELL
20230526017100,-25,15,25,40,40,25,70,40,0,0,20,-25,10,-5,30,-5,20,50,75,5,50,50,75,50,BUY
20230519041000,-20,25,60,85,75,90,45,100,-25,-35,-30,-20,-75,-70,-30,-50,-20,-60,-45,-50,-90,-75,-120,-65,BUY
20230519042000,-60,25,65,90,75,160,65,80,-10,-25,55,-60,-15,55,135,-5,80,55,115,75,75,65,145,55,BUY
20230519043900,-30,15,35,50,65,75,90,75,-60,-45,-45,-30,-70,-45,-5,-75,-60,-20,-65,-35,-70,-45,-50,-95,SELL
20230519030700,0,5,15,20,40,30,35,25,-5,15,-10,0,-20,-10,-30,-10,-50,-35,-55,-30,-55,-50,-45,-55,SELL
20230519022800,-75,10,75,85,150,80,85,90,-135,-70,-125,-75,-190,-195,-145,-200,-150,-150,-95,-220,-115,-110,-30,-170,SELL
20230519026000,50,50,10,60,60,70,45,60,25,25,15,50,75,85,80,65,135,120,75,130,130,130,125,125,BUY
20230519014400,-60,10,65,75,50,45,50,45,-10,-35,0,-60,0,-30,10,-60,-5,-30,30,-50,-5,-35,25,-30,SELL
20230519013100,15,35,10,45,65,100,115,65,20,40,55,15,20,75,95,70,80,150,165,110,130,150,110,180,BUY
